billing_city,latitude,longitude
Mclean,40.4631789,-88.8196613
Mclean,40.4631789,-88.8196613
Downingtown,40.0064958,-75.7032742
Luterbach,47.2145742,7.5839238
Luterbach,47.2145742,7.5839238
Mclean,40.4631789,-88.8196613
Seattle,47.6038321,-122.330062
New York,40.7127281,-74.0060152
East Palatka,29.652377,-81.5995889937833
East Palatka,29.652377,-81.5995889937833
New York,40.7127281,-74.0060152
Seattle,47.6038321,-122.330062
Seattle,47.6038321,-122.330062
Coram,40.8687097,-73.0014946
San Diego,32.7174202,-117.162772
Bettendorf,47.5852476,7.2770871
Florence,43.7697955,11.2556404
Bettendorf,47.5852476,7.2770871
New Castle,39.6159851,-75.662956
Strijen,51.7428921,4.5539685
Los Angeles,34.0536909,-118.242766
White Plains,41.0339862,-73.7629097
Los Angeles,34.0536909,-118.242766
White Plains,41.0339862,-73.7629097
Bandera,29.7643475,-99.234526
Tucson,32.2228765,-110.974847
Brainerd,46.3580221,-94.2008288
Pflugerville,30.4393696,-97.6200043
Chesapeake,36.7168315,-76.2494453
Wilmington,39.7459468,-75.546589
Wilmington,39.7459468,-75.546589
Highlands,56.8,-5.0
Highlands,56.8,-5.0
Wilmington,39.7459468,-75.546589
Brooklyn,40.6526006,-73.9497211
Norman,35.2225717,-97.4394816
Norman,35.2225717,-97.4394816
Averill Park,42.6343578,-73.5537673
Brooklyn,40.6526006,-73.9497211
Tampa,27.9477595,-82.458444
Singapore,1.357107,103.8194992
Singapore,1.357107,103.8194992
Massapequa,40.6761472,-73.4696557
Reedsport,43.702093,-124.097083
Mesa,33.4151005,-111.831455
Reedsport,43.702093,-124.097083
Blackwood,39.799232,-75.06416988211788
Lakewood Ranch,27.409191200000002,-82.39252437499218
Lakewood Ranch,27.409191200000002,-82.39252437499218
Singapore,1.357107,103.8194992
San Antonio,29.4246002,-98.4951405
Castleton,53.3406983,-1.7867905115307363
Concord,43.207178,-71.537476
Concord,43.207178,-71.537476
Bridge City,30.0294356,-93.8399077
Concord,43.207178,-71.537476
Bridge City,30.0294356,-93.8399077
Houma,29.5957696,-90.7195348
West Aliquippa,40.6367336,-80.2400607
Jericho,40.7920441,-73.5398476
West Aliquippa,40.6367336,-80.2400607
Orlando,28.5421109,-81.3790304
Battle Ground,45.7813532,-122.5337433
Brainerd,46.3580221,-94.2008288
Battle Ground,45.7813532,-122.5337433
Bellingham,48.7544012,-122.478836
Raleigh,35.7803977,-78.6390989
Highlands Ranch,39.5497243,-104.969565
Los Angeles,34.0536909,-118.242766
Longboat Key,27.4125417,-82.6589881
Holland,52.2434979,5.6343227
Apo,7.811799150000001,-76.71635941021736
Apo,7.811799150000001,-76.71635941021736
Apo,7.811799150000001,-76.71635941021736
Los Angeles,34.0536909,-118.242766
Apo,7.811799150000001,-76.71635941021736
Valley Village,34.1637147,-118.3965758
Los Angeles,34.0536909,-118.242766
Chester Le Street,54.8543237,-1.5750431
Downingtown,40.0064958,-75.7032742
Downingtown,40.0064958,-75.7032742
Bloomfield Hills,42.583645,-83.2454883
Thornhill,43.80986765,-79.48342269129985
Valley Village,34.1637147,-118.3965758
Bloomfield Hills,42.583645,-83.2454883
Brandon,49.8511143,-99.9608924
Chicago,41.8755616,-87.6244212
Brandon,49.8511143,-99.9608924
Dandridge,36.0153693,-83.4148895
Dandridge,36.0153693,-83.4148895
Woodbury,42.3775361,-96.0607187
Riverview,46.0612076,-64.8033246
Valley Village,34.1637147,-118.3965758
San Antonio,29.4246002,-98.4951405
Huntsville,34.729847,-86.5859011
Columbus,39.9622601,-83.0007065
San Antonio,29.4246002,-98.4951405
Brooklyn,40.6526006,-73.9497211
Brooklyn,40.6526006,-73.9497211
Brandon,49.8511143,-99.9608924
Woodford Green,51.6085806,0.0212014
Woodford Green,51.6085806,0.0212014
Woodford Green,51.6085806,0.0212014
Leland,34.236434,-78.0040029
Concord,43.207178,-71.537476
Brainerd,46.3580221,-94.2008288
Dover Heights,-33.8739831,151.2810366
Bremerton,47.5653663,-122.6246836
Bremerton,47.5653663,-122.6246836
London,51.5074456,-0.1277653
Miami,25.7741728,-80.19362
Palmdale,34.5793131,-118.11711
Miami,25.7741728,-80.19362
Palmdale,34.5793131,-118.11711
Summersville,38.2812203,-80.8525981
Yafo,6.552574,-3.935638
Yafo,6.552574,-3.935638
El Paso,31.7601164,-106.4870404
Markham,43.8563707,-79.3376825
Vernon,49.0932008,1.4857205
Republic,39.8266503,-97.6580834
Lexington,38.0464066,-84.4970393
Lexington,38.0464066,-84.4970393
Porter,41.4457032,-87.0724971
Coram,40.8687097,-73.0014946
Mcgregor,31.4367029,-97.4080875
Baltimore,39.2908816,-76.610759
Gaithersburg,39.1399187,-77.1929215
Gaithersburg,39.1399187,-77.1929215
Lithia,37.4781901,-79.7514284
Bridge City,30.0294356,-93.8399077
Canterbury,51.2800275,1.0802533
Tekoa,47.2233681,-117.070875
Lawrence Township,42.20038385,-86.05083555325609
Tekoa,47.2233681,-117.070875
West Hartford,41.7620447,-72.7420399
West Hartford,41.7620447,-72.7420399
West Hartford,41.7620447,-72.7420399
Ambler,46.395412,11.146774
Waxhaw,34.9248125,-80.7440174
Bridge City,30.0294356,-93.8399077
Bridge City,30.0294356,-93.8399077
Bridge City,30.0294356,-93.8399077
Brooklyn,40.6526006,-73.9497211
Brooklyn,40.6526006,-73.9497211
Seminole,28.7225829,-81.2353683
Sheffield,53.3806626,-1.4702278
Brooklyn,40.6526006,-73.9497211
Brooklyn,40.6526006,-73.9497211
Mansfield,53.1443785,-1.1964165
Mansfield,53.1443785,-1.1964165
Boynton Beach,26.5256179,-80.0666026
Boynton Beach,26.5256179,-80.0666026
פתח תקווה,32.09062415,34.883981280656116
Grand Junction,39.0672568,-108.56448
Lincoln,40.8088861,-96.7077751
Lincoln,40.8088861,-96.7077751
San Francisco,37.7792588,-122.4193286
Lincoln,40.8088861,-96.7077751
Jackson,32.2998686,-90.1830408
Lansdale,40.2414952,-75.2837862
Thornhill,43.80986765,-79.48342269129985
League City,29.5074538,-95.0949303
Vero Beach,27.6387163,-80.3975399
Vero Beach,27.6387163,-80.3975399
Fountain Hills,33.6117105,-111.717361
Limassol,34.6852901,33.0332657
Boca Raton,26.3586885,-80.0830984
Milford,41.2222218,-73.0570603
Fort Worth,32.753177,-97.3327459
Meridian,32.3643098,-88.703656
Wyoming,43.1700264,-107.568534
Johnson City,36.3134398,-82.3534728
Irondequoit,43.2133955,-77.5797226
White Plains,41.0339862,-73.7629097
Siglistorf,47.5453889,8.3808698
Mineola,40.7492678,-73.6406845
Siglistorf,47.5453889,8.3808698
Siglistorf,47.5453889,8.3808698
Siglistorf,47.5453889,8.3808698
Hatfield,51.7634675,-0.2258741
Milford,41.2222218,-73.0570603
Minneapolis,44.9772995,-93.2654692
Minneapolis,44.9772995,-93.2654692
Bremerton,47.5653663,-122.6246836
Marysville,48.0517429,-122.1768209
Hanover,52.3744779,9.7385532
Hanover,52.3744779,9.7385532
Myrtle Beach,33.6956461,-78.8900409
Ringgold,40.7399875,-94.2547473
Philadelphia,39.9527237,-75.1635262
Philadelphia,39.9527237,-75.1635262
Boynton Beach,26.5256179,-80.0666026
Boynton Beach,26.5256179,-80.0666026
Shawnee,39.0273676,-95.7627535
Boynton Beach,26.5256179,-80.0666026
Boynton Beach,26.5256179,-80.0666026
Gouda,52.0114922,4.7106094
Bonita Springs,26.339806,-81.7786972
Plainville,49.0846462,0.5005539
Ocala,29.1871986,-82.1400923
San Antonio,29.4246002,-98.4951405
San Antonio,29.4246002,-98.4951405
San Antonio,29.4246002,-98.4951405
San Antonio,29.4246002,-98.4951405
San Antonio,29.4246002,-98.4951405
Dallas,32.7762719,-96.7968559
Myrtle Beach,33.6956461,-78.8900409
Plainsboro,40.3334409,-74.6004341
Merrimack,43.3260376,-71.6854725
Southfield,42.4733689,-83.2218731
East Northport,40.8767648,-73.3245614
Laguna Niguel,33.5225261,-117.7075526
Lebanon,40.375713,-76.4626118
Leonardo,40.420418999999995,-74.06045445356699
Chula Vista,32.6400541,-117.084195
Queens Village,40.7267692,-73.7415208
Fargo,46.877229,-96.789821
Granada Hills,34.2661558,-118.5174342
Selma,32.4078632,-87.0207473
Shrewsbury,52.707755,-2.7540658
Jericho,40.7920441,-73.5398476
Shrewsbury,52.707755,-2.7540658
Ashland,46.2062319,-90.6802594
Medina,29.2836281,-99.1126826
גבעתיים,32.0729606,34.8113279
Reedsport,43.702093,-124.097083
Columbus,39.9622601,-83.0007065
Bismarck,46.808327,-100.783739
Ashland,46.2062319,-90.6802594
Joliet,41.5263603,-88.0840212
Petah Tikva,32.0877639,34.8859985
Des Moines,41.5868654,-93.6249494
Port Washington,43.3885538,-87.8692845
Monclova,26.8999988,-101.4171173
Joliet,41.5263603,-88.0840212
Chatham Township,40.73012395,-74.42511147170626
Chatham Township,40.73012395,-74.42511147170626
Richmond,37.5385087,-77.43428
Richmond,37.5385087,-77.43428
Richmond,37.5385087,-77.43428
Richmond,37.5385087,-77.43428
Richmond,37.5385087,-77.43428
League City,29.5074538,-95.0949303
League City,29.5074538,-95.0949303
New York,40.7127281,-74.0060152
Key West,24.5548262,-81.8020722
Cochrane,50.630898,-82.1914444
Leland,34.236434,-78.0040029
Rigby,43.6751937,-111.918002
Leland,34.236434,-78.0040029
Los Angeles,34.0536909,-118.242766
Peabody,42.5278731,-70.9286609
Kingwood,39.4717557,-79.6833884
Minneapolis,44.9772995,-93.2654692
Indianapolis,39.7683331,-86.1583502
Indianapolis,39.7683331,-86.1583502
Indianapolis,39.7683331,-86.1583502
Indianapolis,39.7683331,-86.1583502
Lake Forest,42.2586461,-87.8407055
Indianapolis,39.7683331,-86.1583502
Salem,44.9391565,-123.033121
Fredericksburg,38.3031837,-77.4605399
Peyton,39.0288809,-104.4830238
Ponte Vedra Beach,30.2274645,-81.3800824
San Jose,37.3361663,-121.890591
Madisonville,37.3280037,-87.4986989
Ponte Vedra Beach,30.2274645,-81.3800824
Millersville,35.3038485,-118.4578633
Millersville,35.3038485,-118.4578633
Millersville,35.3038485,-118.4578633
Madisonville,37.3280037,-87.4986989
Walnut Creek,37.9020731,-122.0618702
Walnut Creek,37.9020731,-122.0618702
Hughenden,52.510771,-110.9632552
Hughenden,52.510771,-110.9632552
Wheeling,42.138889,-87.9310944
New Taipei City,25.02679015,121.47107843163
Wheeling,42.138889,-87.9310944
Kailua Kona,19.641941,-155.996933
Manchester,53.4794892,-2.2451148
New Taipei City,25.02679015,121.47107843163
Oceanside,33.1958696,-117.379483
New Taipei City,25.02679015,121.47107843163
Beaver Meadows,40.9282892,-75.9150811
Newark,40.735657,-74.1723667
Jericho,40.7920441,-73.5398476
Norfolk,52.666667,1.0
Norfolk,52.666667,1.0
Schuylkill Haven,40.6306464,-76.171054
Albany,42.6511674,-73.754968
Fairfax Station,38.800859,-77.3256803
Schuylkill Haven,40.6306464,-76.171054
Albany,42.6511674,-73.754968
Hiram,33.8756601,-84.7621592
Hiram,33.8756601,-84.7621592
Memphis,35.1460249,-90.0517638
Memphis,35.1460249,-90.0517638
Deland,29.0281051,-81.3034183
Ripon,54.1362169,-1.5238006
Queens,40.7135078,-73.8283132
Denville,40.8922694,-74.4774255
Lorton,38.7043397,-77.220343
Inverness,57.4790124,-4.225739
Madison,43.074761,-89.3837613
Wallington,40.8531553,-74.1137537
Wallington,40.8531553,-74.1137537
Wallington,40.8531553,-74.1137537
Pictou,45.5855373,-62.7283219
Seattle,47.6038321,-122.330062
Newark,40.735657,-74.1723667
Orange Beach,30.2943681,-87.5735935
Mannford,36.1324167,-96.32871357613828
Sun City,-25.34878165,27.095020340776998
Palatine,42.1105779,-88.0336888
Forest Hills,40.723100900000006,-73.84661252338407
Forest Hills,40.723100900000006,-73.84661252338407
Boynton Beach,26.5256179,-80.0666026
Boynton Beach,26.5256179,-80.0666026
Montesano,46.9812063,-123.602662
Noblesville,40.0455918,-86.0085955
Murphy,33.0151208,-96.6130478
Atlanta,33.7489924,-84.3902644
Visalia,36.3302284,-119.292058
Visalia,36.3302284,-119.292058
Plainview,34.1847936,-101.706841
Tamarac,26.2048464,-80.27080479659301
Orange Beach,30.2943681,-87.5735935
Tamarac,26.2048464,-80.27080479659301
Murrysville,40.4284015,-79.697545
Forest Hills,40.723100900000006,-73.84661252338407
Konstancin Jeziorna,52.0834787,21.1208073
Plainview,34.1847936,-101.706841
Houston,29.7589382,-95.3676974
Siglistorf,47.5453889,8.3808698
Murrysville,40.4284015,-79.697545
Castleton,53.3406983,-1.7867905115307363
Lexington,38.0464066,-84.4970393
North Haledon,40.9550981,-74.1859782
Hanover,52.3744779,9.7385532
Bronx,40.8466508,-73.8785937
Encino,34.1591324,-118.5016166
Douglaston,40.768358,-73.7492477
Oceanport,40.3181663,-74.0151382
Blue Bell,40.147809,-75.27278098877919
San Jose,37.3361663,-121.890591
Vaughan,43.7941544,-79.5268023
New York,40.7127281,-74.0060152
Vaughan,43.7941544,-79.5268023
San Jose,37.3361663,-121.890591
San Jose,37.3361663,-121.890591
New York,40.7127281,-74.0060152
Boca Raton,26.3586885,-80.0830984
Boca Raton,26.3586885,-80.0830984
Camden Wyoming,39.111133699999996,-75.5593420126352
Ridgefield,41.267211,-73.49345520437956
Visalia,36.3302284,-119.292058
White Plains,41.0339862,-73.7629097
Framingham,42.2773177,-71.4165905
Northbrook,42.128704,-87.8265089
Northbrook,42.128704,-87.8265089
Northbrook,42.128704,-87.8265089
Lakewood,33.8503463,-118.117191
Oyster Bay,40.8736879,-73.5323172
Oyster Bay,40.8736879,-73.5323172
Thornhill,43.80986765,-79.48342269129985
Brooklyn,40.6526006,-73.9497211
Thornhill,43.80986765,-79.48342269129985
Brooklyn,40.6526006,-73.9497211
Crystal Lake,42.2411344,-88.3161965
Glenside,40.1001891,-75.1539056
Yonkers,40.9312099,-73.8987469
Myrtle Beach,33.6956461,-78.8900409
Beaumont,30.0860459,-94.1018461
Beaumont,30.0860459,-94.1018461
Myrtle Beach,33.6956461,-78.8900409
Myrtle Beach,33.6956461,-78.8900409
Beaumont,30.0860459,-94.1018461
Nyack,41.091121,-73.9196794
Nyack,41.091121,-73.9196794
Nyack,41.091121,-73.9196794
Beaumont,30.0860459,-94.1018461
Oakdale,44.985624,-92.9645794
Murrieta,33.560832,-117.210656
Murrieta,33.560832,-117.210656
Murrieta,33.560832,-117.210656
Warrenton,38.7135498,-77.795367
Tampa,27.9477595,-82.458444
Eschweiler,48.8591678,7.1153691
Colorado Springs,38.8339578,-104.825348
London,51.5074456,-0.1277653
Moorestown,39.9670569,-74.9426677
Moorestown,39.9670569,-74.9426677
Tampa,27.9477595,-82.458444
San Bernardino,34.8253019,-116.0833144
The Bronx,40.8466508,-73.8785937
North Royalton,41.3136644,-81.7245739
Tulsa,36.1563122,-95.9927516
The Bronx,40.8466508,-73.8785937
Brea,51.1417984,5.5985009
Boynton Beach,26.5256179,-80.0666026
Boynton Beach,26.5256179,-80.0666026
Albany,42.6511674,-73.754968
Boynton Beach,26.5256179,-80.0666026
Boynton Beach,26.5256179,-80.0666026
Brighton,50.8214626,-0.1400561
Ankeny,41.7320796,-93.605092
Flint,43.0161693,-83.6900211
Webster,37.2895151,-92.8792111
Glen Rock,40.9628758,-74.1329208
Mount Vernon,38.3172715,-88.9031201
Mount Vernon,38.3172715,-88.9031201
Lilburn,33.8901036,-84.1429719
Eureka,40.7906871,-124.1673746
Chandler,33.3062031,-111.841185
Pittsboro,35.7201229,-79.1771539
Cheyenne,41.139981,-104.820246
Mountain View,37.3893889,-122.0832101
Mountain View,37.3893889,-122.0832101
Berkley,42.5030909,-83.1835389
Jacksonville,30.3321838,-81.655651
Waxhaw,34.9248125,-80.7440174
Austin,30.2711286,-97.7436995
San Marcos,29.8826436,-97.9405828
Las Vegas,36.1672559,-115.148516
Shelbyville,39.5214373,-85.7769238
Shelbyville,39.5214373,-85.7769238
Shelbyville,39.5214373,-85.7769238
Peabody,42.5278731,-70.9286609
San Jose,37.3361663,-121.890591
Eureka,40.7906871,-124.1673746
Eureka,40.7906871,-124.1673746
Eureka,40.7906871,-124.1673746
Weymouth,50.6096257,-2.4543424
Peosta,42.4469535,-90.8433797
Cumming,34.2073196,-84.1401926
Tampa,27.9477595,-82.458444
Tampa,27.9477595,-82.458444
Tampa,27.9477595,-82.458444
Sugar Grove,41.7616204,-88.4439261
Antioch,38.0049214,-121.805789
Homer Glen,41.6000318,-87.9381112
Spokane,47.6571934,-117.42351
San Jose,37.3361663,-121.890591
Chandler,33.3062031,-111.841185
Lewes,50.8746139,0.005115324110936268
Albuquerque,35.0841034,-106.650985
Millis,42.1674963,-71.3572212
East Brunswick,40.4278841,-74.415984
Brooklyn,40.6526006,-73.9497211
Winter Park,28.5977707,-81.3510264
Upland,59.9478778,18.062264738791697
Lewes,50.8746139,0.005115324110936268
Roslindale,42.2912093,-71.1244966
Eschweiler,48.8591678,7.1153691
Freehold,40.2601096,-74.2737573
Potomac,39.0180508,-77.1956331355745
Brooklyn,40.6526006,-73.9497211
Saint Clair,38.4616972,-89.9324347
Sun City,-25.34878165,27.095020340776998
Largo,27.9094665,-82.7873244
Eschweiler,48.8591678,7.1153691
Eschweiler,48.8591678,7.1153691
Colorado Springs,38.8339578,-104.825348
Northport,40.9009595,-73.343167
Dallas,32.7762719,-96.7968559
Forest Hills,40.723100900000006,-73.84661252338407
Drexel Hill,39.9483282,-75.30688778777797
Columbia,4.099917,-72.9088133
Brooklyn,40.6526006,-73.9497211
Wheaton,41.8646959,-88.1101709
Nechanucsburg,,
Bradford,53.7944229,-1.7519186
Salt Lake City,40.7596198,-111.886797
Santa Barbara,34.4221319,-119.702667
Lawrence,38.9719137,-95.2359403
Wheaton,41.8646959,-88.1101709
Myrtle Beach,33.6956461,-78.8900409
Fullerton,33.8708215,-117.929416
Alexandria,44.83495335,8.745030418605868
Guthrie,41.6721976,-94.4985983
Boca Raton,26.3586885,-80.0830984
Columbia,4.099917,-72.9088133
Strongsville,41.3144733,-81.83511
Klamath Falls,42.224867,-121.78167
Baltimore,39.2908816,-76.610759
Annville,37.3192547,-83.9704832
San Jose,37.3361663,-121.890591
小野市市場町,34.8289796,134.9373674
Tucson,32.2228765,-110.974847
Ocean Shores,46.973703,-124.156277
Nechanucsburg,,
Fair Lawn,40.9397796,-74.1312504
Canon City,38.4422506,-105.2348795
Madison,43.074761,-89.3837613
Brooklyn,40.6526006,-73.9497211
Columbia,4.099917,-72.9088133
Onset,41.7417714,-70.6578104
Akron,41.083064,-81.518485
Mobile,30.6913462,-88.0437509
Madison,43.074761,-89.3837613
Herndon,39.909726,-100.785153
Tucson,32.2228765,-110.974847
Spokane,47.6571934,-117.42351
Minneapolis,44.9772995,-93.2654692
Lock Haven,41.1369077,-77.4471641
Tucson,32.2228765,-110.974847
Lock Haven,41.1369077,-77.4471641
Houston,29.7589382,-95.3676974
Madison,43.074761,-89.3837613
San Angelo,31.4649685,-100.4405094
San Carlos,15.926773,120.3475584
Canon City,38.4422506,-105.2348795
Bountiful,40.8894611,-111.8804817
Madison,43.074761,-89.3837613
Clovis,36.8252277,-119.7029194
Tampa,27.9477595,-82.458444
Wayne,42.2682408,-83.2844172
Onset,41.7417714,-70.6578104
Drexel Hill,39.9483282,-75.30688778777797
Willowbrook,33.9204209,-118.2418543
Bradford,53.7944229,-1.7519186
Austin,30.2711286,-97.7436995
Lawrence,38.9719137,-95.2359403
Spokane,47.6571934,-117.42351
Royal Oak,42.4894801,-83.1446485
Spokane,47.6571934,-117.42351
Mechanicsburg,40.2101972,-77.0047276
Lititz,40.1571324,-76.307162
Howell,36.766989,-91.9151975
Fitchburg,42.5854371,-71.8046023
Santa Barbara,34.4221319,-119.702667
Keswick,54.6009812,-3.1375822
Tucson,32.2228765,-110.974847
Tucson,32.2228765,-110.974847
Sandpoint,48.2765903,-116.553247
Avondale,33.4355977,-112.349602
Syosset,40.8262101,-73.502068
Cranford,40.6584358,-74.2995923
Easton,40.6916081,-75.2099866
Columbus,39.9622601,-83.0007065
Ossining,41.1613168,-73.8620367
Northbrook,42.128704,-87.8265089
Lakewood,33.8503463,-118.117191
Pinecrest,25.6670476,-80.3081074
Chandler,33.3062031,-111.841185
Cincinnati,39.1014537,-84.5124602
Tryon,35.2081695,-82.2384479
Bedminster,51.4367393,-2.6042197
Sunnyside,47.8595825,-53.9209544
Boynton Beach,26.5256179,-80.0666026
Drexel Hill,39.9483282,-75.30688778777797
Cumming,34.2073196,-84.1401926
Fiskdale,42.1162056,-72.11341
Willow Grove,40.1439985,-75.1157286
Cumming,34.2073196,-84.1401926
Beaumont,30.0860459,-94.1018461
Moodus,41.5039285,-72.44636569021739
Union Mills,54.1697696,-4.522811
Bakersfield,35.3738712,-119.019463
Gilbert,33.3527632,-111.789037
Tannersville,42.1956438,-74.1337508
Roseville,38.7521235,-121.2880059
Hazlet,40.4292165,-74.1648999
Chandler,33.3062031,-111.841185
Centennial,39.579155,-104.8769227
Yakima,46.601557,-120.510842
Newport,41.4899827,-71.3137707
Cincinnati,39.1014537,-84.5124602
Northbrook,42.128704,-87.8265089
Monroe Township,43.690677199999996,-85.74073206987296
Bakersfield,35.3738712,-119.019463
Tannersville,42.1956438,-74.1337508
Tannersville,42.1956438,-74.1337508
Lawai,21.92104535,-159.50145136544268
Northbrook,42.128704,-87.8265089
High Point,35.9556924,-80.0053176
Tannersville,42.1956438,-74.1337508
Statesville,35.7826363,-80.8872959
Savannah,32.0790074,-81.0921335
Burlingame,37.5780965,-122.3473099
Colton,34.0739016,-117.3136547
Lawai,21.92104535,-159.50145136544268
Bedminster,51.4367393,-2.6042197
Centerville,31.2578221,-95.9785301
Coopersburg,40.51146,-75.3903376
Saint Paul,44.9497487,-93.0931028
Texas,31.2638905,-98.5456116
Devine,29.1399633,-98.905306
Pleasant Valley,41.7455573,-73.8205859
Devine,29.1399633,-98.905306
Englewood,39.6482059,-104.9879641
Waukee,41.6118485,-93.8845129
Limassol,34.6852901,33.0332657
Washington,38.8950368,-77.0365427
Washington,38.8950368,-77.0365427
Englewood,39.6482059,-104.9879641
Devine,29.1399633,-98.905306
Pleasant Valley,41.7455573,-73.8205859
Lone Tree,39.5364152,-104.9041528
Northbrook,42.128704,-87.8265089
Attleboro,41.9438129,-71.2806515
Englewood,39.6482059,-104.9879641
Forest Hills,40.723100900000006,-73.84661252338407
Windsor Locks,41.9281305,-72.643631
Waukee,41.6118485,-93.8845129
Centennial,39.579155,-104.8769227
Crystal River,28.902479,-82.5926012
Crystal River,28.902479,-82.5926012
Willow Grove,40.1439985,-75.1157286
Bethlehem,40.6178915,-75.3786521
Madisonville,37.3280037,-87.4986989
Madisonville,37.3280037,-87.4986989
Centennial,39.579155,-104.8769227
Centennial,39.579155,-104.8769227
Summerville,33.0186699,-80.1762704
Willowbrook,33.9204209,-118.2418543
Summerville,33.0186699,-80.1762704
Saint Louis,38.6280278,-90.1910154
Carson City,39.1698022,-119.7575628
Peoria,40.6938609,-89.5891008
Pittsburgh,40.4416941,-79.9900861
Canton,23.1301964,113.2592945
Chula Vista,32.6400541,-117.084195
Weston,51.3471927,-2.9778916
Denton,33.1838787,-97.1413417
Athens,33.9597677,-83.376398
Athens,33.9597677,-83.376398
Monmouth,40.2932319,-74.1671114
Monmouth,40.2932319,-74.1671114
Lincoln,40.8088861,-96.7077751
Eastpointe,42.4683698,-82.9554746
Atlanta,33.7489924,-84.3902644
Cottage Grove,44.8277446,-92.9438218
Larkspur,37.9340915,-122.5352539
Larkspur,37.9340915,-122.5352539
Newburgh,41.5034271,-74.0104179
Lincoln Park,42.2505943,-83.1785361
Larkspur,37.9340915,-122.5352539
Hicksville,40.7681926,-73.5238207
Hicksville,40.7681926,-73.5238207
Westminster,51.4973206,-0.137149
Westminster,51.4973206,-0.137149
Janesville,42.6829765,-89.0226793
Minneapolis,44.9772995,-93.2654692
Cincinnati,39.1014537,-84.5124602
Houston,29.7589382,-95.3676974
Houston,29.7589382,-95.3676974
Houston,29.7589382,-95.3676974
Winfield,37.2397486,-96.9955919
Methuen,42.7262016,-71.1908924
Methuen,42.7262016,-71.1908924
Methuen,42.7262016,-71.1908924
Methuen,42.7262016,-71.1908924
Ramsey,45.0165728,-93.0949501
Winfield,37.2397486,-96.9955919
Fort Collins,40.5871782,-105.0770113
Dallas,32.7762719,-96.7968559
Eugene,44.0505054,-123.0950506
Covington,31.196549,-86.4597236
Covington,31.196549,-86.4597236
New York,40.7127281,-74.0060152
Ramsey,45.0165728,-93.0949501
Flower Mound,33.0283854,-97.0867203
College Corner,39.5675514,-84.8144004
Covington,31.196549,-86.4597236
Orange,33.750631,-117.8722311
Mount Hermon,40.9248201,-74.9937842
Ossining,41.1613168,-73.8620367
Boynton Beach,26.5256179,-80.0666026
Oxford,51.7520131,-1.2578499
Virginia Beach,36.8496579,-75.9760751
Simpsonville,34.7370639,-82.2542834
Tustin,33.7458511,-117.826166
Loomis,38.8212889,-121.193004
Valley Stream,40.6631362,-73.7056955
Naples,40.8358846,14.2487679
Naples,40.8358846,14.2487679
Pittsburgh,40.4416941,-79.9900861
Naples,40.8358846,14.2487679
Block Island,41.18957715,-71.56790006923444
Chapel Hill,35.9131542,-79.05578
Newington,43.100482,-70.834351
Tustin,33.7458511,-117.826166
Senatobia,34.6187807,-89.9646282
Bordentown,40.1462685,-74.7114508
Columbus,39.9622601,-83.0007065
Racine,42.7260523,-87.7825242
Topeka,39.049011,-95.677556
Naples,40.8358846,14.2487679
Redwood City,37.4863239,-122.232523
